language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	s k a r p r		s k a r p r	2	s k a r p r	3	s k a r p r	test	s k a r p r	2	s k a r p r	2
OLD_NORSE	non	come	1446	come	ˈkoma	come:B	ˈk o m a		ˈk o m a	test	ˈk o m a	test	ˈk o m a	2	ˈk o m a	5	ˈk o m a	4
OLD_NORSE	non	yellow	1424	yellow	ɡulr	yellow:A	ɡ u l r		ɡ u l r	1	ɡ u l r	2	ɡ u l r	test	ɡ u l r	3	ɡ u l r	test
OLD_NORSE	non	snow	784	snow	snjoːr	snow:B	s n j oː r		s n j oː r	1	s n j oː r	1	s n j oː r	4	s n j oː r	4	s n j oː r	5
OLD_NORSE	non	sing	1261	sing	ˈsynɣva	sing:B	ˈs y n ɣ v a		ˈs y n ɣ v a	4	ˈs y n ɣ v a	2	ˈs y n ɣ v a	4	ˈs y n ɣ v a	2	ˈs y n ɣ v a	test
OLD_NORSE	non	tail	1220	tail	ˈveːli	tail:Ad	ˈv eː l i		ˈv eː l i	test	ˈv eː l i	5	ˈv eː l i	1
OLD_NORSE	non	die	1494	die	ˈdɛyja	die:B	ˈd ɛ y j a		ˈd ɛ y j a	test	ˈd ɛ y j a	5	ˈd ɛ y j a	4
OLD_NORSE	non	cold	1287	cold	kaldr	cold:B	k a l d r		k a l d r	test	k a l d r	4	k a l d r	1	k a l d r	5	k a l d r	3
OLD_NORSE	non	name	1405	name	nafn	name:A	n a f n		n a f n	test	n a f n	5	n a f n	4	n a f n	3	n a f n	4
OLD_NORSE	non	stick	1295	stick	stavr	stick:D	s t a v r		s t a v r	4	s t a v r	test	s t a v r	1	s t a v r	4
OLD_NORSE	non	water	948	water	vatn	water:B	v a t n		v a t n	2	v a t n	3	v a t n	test	v a t n	4	v a t n	3
OLD_NORSE	non	what	1236	what	ɣvat	what:A	ɣ v a t		ɣ v a t	5	ɣ v a t	4	ɣ v a t	test	ɣ v a t	1	ɣ v a t	4
OLD_NORSE	non	fight	1423	fight	slaːsk	fight:Q	s l aː s k		s l aː s k	1	s l aː s k	2	s l aː s k	3
OLD_NORSE	non	kill	1417	kill	ˈdrepa	kill:B	ˈd r e p a		ˈd r e p a	4
OLD_NORSE	non	root	670	root	roːt	root:B	r oː t		r oː t	3	r oː t	1	r oː t	4	r oː t	3	r oː t	4
OLD_NORSE	non	two	1498	two	tvɛir	two:A	t v ɛ i r		t v ɛ i r	1	t v ɛ i r	test	t v ɛ i r	3	t v ɛ i r	5	t v ɛ i r	3
OLD_NORSE	non	at	1461	at	við	at:U	v i ð		v i ð	2	v i ð	test	v i ð	3	v i ð	4
OLD_NORSE	non	narrow	1267	narrow	θrɔnɣr	narrow:O	θ r ɔ n ɣ r		θ r ɔ n ɣ r	5	θ r ɔ n ɣ r	1	θ r ɔ n ɣ r	2
OLD_NORSE	non	turn	1588	turn	ˈvenda	turn:U	ˈv e n d a		ˈv e n d a	3	ˈv e n d a	test	ˈv e n d a	2	ˈv e n d a	1	ˈv e n d a	2
OLD_NORSE	non	four	1500	four	ˈfjoːrir	four:N	ˈf j oː r i r		ˈf j oː r i r	3	ˈf j oː r i r	3	ˈf j oː r i r	test	ˈf j oː r i r	test	ˈf j oː r i r	3
OLD_NORSE	non	person	683	person	maðr	person:A	m a ð r		m a ð r	3	m a ð r	test	m a ð r	3
OLD_NORSE	non	rain	658	rain	reɣn	rain:B	r e ɣ n		r e ɣ n	5	r e ɣ n	4	r e ɣ n	2	r e ɣ n	3	r e ɣ n	test
OLD_NORSE	non	neck	1333	neck	hals	neck:B	h a l s		h a l s	test	h a l s	3	h a l s	4	h a l s	4	h a l s	2
OLD_NORSE	non	throw	1456	throw	ˈkasta	throw:I	ˈk a s t a		ˈk a s t a	test	ˈk a s t a	5	ˈk a s t a	test	ˈk a s t a	2	ˈk a s t a	test
